Permiso CRE,Place ID,Marca,Estacion,Direccion,Municipio,Estado,Region,Lat,Lon
CNE/PL/341/EXP/ES/2025,30530,,ALMACENES DE COMBUSTIBLES DE MEXICO SA DE CV,,Monclova,Coahuila,Noreste,26.95076,-101.4189
CNE/PL/342/EXP/ES/2025,30531,,ALMACENES DE COMBUSTIBLES DE MEXICO SA DE CV,,Monclova,Coahuila,Noreste,26.93037,-101.4156
CNE/PL/343/EXP/ES/2025,30620,,SERVICIO FIGUE CUMBRES 2 SA DE CV,,García,Nuevo León,Noreste,25.76402,-100.4722
CNE/PL/344/EXP/ES/2025,30532,,SERVICIO NECORA SA DE CV,,Jiutepec,Morelos,Centro,18.91694,-99.18639
CNE/PL/345/EXP/ES/2025,30534,,DISTRIBUIDORA GVR DEL CENTRO SA DE CV,,San Luis Potosí,San Luis Potosí,Noreste,22.21586,-100.956
CNE/PL/346/EXP/ES/2025,30621,,COMBUSTIBLES RIO MEDIO SA DE CV,,Veracruz,Veracruz,Golfo,19.20296,-96.20099
CNE/PL/347/EXP/ES/2025,30626,,EDGAR ANTONIO VAZQUEZ MARTINEZ,,Altotonga,Veracruz,Golfo,19.7779,-97.2498
CNE/PL/348/EXP/ES/2025,30533,,ELEGANCIA GAS SA DE CV,,Mineral de la Reforma,Hidalgo,Centro,20.09684,-98.71867
CNE/PL/349/EXP/ES/2025,30624,,COMBUSTIBLES JIGO SA DE CV,,Lázaro Cárdenas,Tlaxcala,Centro,19.54159,-98.0022
CNE/PL/350/EXP/ES/2025,30535,,SERVICIOS GLAMA BIS SA DE CV,,Soyaniquilpan de Juárez,México,Centro,20.00734,-99.50526
CNE/PL/351/EXP/ES/2025,30536,,AUTOSERVICIO LA 700 SA DE CV,,Guasave,Sinaloa,Noroeste,25.55172,-108.5003
CNE/PL/352/EXP/ES/2025,30623,,COMBUSTIBLES NORPOGAS SA DE CV,,Querétaro,Querétaro,Centro,20.64648,-100.5011
