Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-17,No especificado,No especificado,No especificado,,PL/965/EXP/ES/2015,,24.19,29.49,27.49
2026-08-17,No especificado,No especificado,No especificado,,PL/9649/EXP/ES/2015,,20.49,,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9648/EXP/ES/2015,,20.70,,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9647/EXP/ES/2015,,24.49,29.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9646/EXP/ES/2015,,18.99,22.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/9645/EXP/ES/2015,,23.99,28.69,27.49
2026-08-17,No especificado,No especificado,No especificado,,PL/9644/EXP/ES/2015,,20.15,25.39,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9643/EXP/ES/2015,,20.15,25.39,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9642/EXP/ES/2015,,19.79,,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9641/EXP/ES/2015,,20.15,25.39,
2026-08-17,No especificado,No especificado,No especificado,,PL/9640/EXP/ES/2015,,23.29,27.69,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/964/EXP/ES/2015,,24.19,29.49,27.49
2026-08-17,No especificado,No especificado,No especificado,,PL/9639/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9638/EXP/ES/2015,,23.99,27.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/9637/EXP/ES/2015,,23.69,27.65,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9636/EXP/ES/2015,,23.79,28.09,
2026-08-17,No especificado,No especificado,No especificado,,PL/9635/EXP/ES/2015,,23.70,27.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/9634/EXP/ES/2015,,23.69,28.79,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9633/EXP/ES/2015,,24.39,29.72,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9632/EXP/ES/2015,,23.99,28.79,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9631/EXP/ES/2015,,20.99,23.99,25.50
2026-08-17,No especificado,No especificado,No especificado,,PL/9630/EXP/ES/2015,,23.99,28.79,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/963/EXP/ES/2015,,24.49,29.69,
2026-08-17,No especificado,No especificado,No especificado,,PL/9629/EXP/ES/2015,,23.50,27.00,27.50
2026-08-17,No especificado,No especificado,No especificado,,PL/9628/EXP/ES/2015,,23.99,28.50,
2026-08-17,No especificado,No especificado,No especificado,,PL/9627/EXP/ES/2015,,23.99,28.50,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9626/EXP/ES/2015,,23.99,28.50,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9625/EXP/ES/2015,,23.99,28.49,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9623/EXP/ES/2015,,22.59,23.89,24.19
2026-08-17,No especificado,No especificado,No especificado,,PL/9622/EXP/ES/2015,,23.79,24.69,25.59
