Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel,Tipo Diesel
2026-08-18,,,,SÚPER SERVICIO LA HACIENDA S.A. DE C.V.,PL/5728/EXP/ES/2015,Avenida Concepción del Valle No. 5300,23.90,27.40,26.99,Automotriz
2026-08-18,,,,COMBUSTIBLES ECCO S.A. DE C.V.,PL/19293/EXP/ES/2016,Adolf B. Horn 5501,23.94,27.79,26.95,Automotriz
2026-08-18,,,,TLAJOGAS S.A. DE C.V.,PL/8261/EXP/ES/2015,Higuera No. 114,23.95,29.70,26.95,Diésel
2026-08-18,,,,TLAJOGAS S.A. DE C.V.,PL/20456/EXP/ES/2017,Prolongación 8 de julio No. 163,23.95,29.70,26.95,Diésel
2026-08-18,,,,Servicios Ecológicos Chichen Itza S.A. de C.V.,PL/9010/EXP/ES/2015,Adolfo López Mateos No. 1300 Local 11,23.99,29.49,,
2026-08-18,,,,"OPORTO PLAZA, S.A. DE C.V.",PL/25619/EXP/ES/2024,AV. LAGO DE CHAPALA No. 510 ESQ. LOMAS DEL VALLE,23.99,29.59,26.99,DUBA
2026-08-18,,,,ENERGÉTICOS PLUS S.A. DE C.V.,PL/3052/EXP/ES/2015,Avenida Adolf B. Horn J.R. No. 3490,23.99,29.99,27.00,Automotriz
2026-08-18,,,,PETRO SERVICIOS DE OCCIDENTE S.A. DE C.V.,PL/9974/EXP/ES/2015,Avenida Adolph B. Horn Jr. N0 11001,23.99,28.79,27.79,Automotriz
2026-08-18,,,,SERVICIO SAN JOSÉ DEL VALLE DOS S.A. DE C.V.,PL/1584/EXP/ES/2015,Avenida Adolph B. Horn Jr. No. 1801,23.99,29.19,,
2026-08-18,,,,ORGANIZACION LA LUNA SA DE CV,PL/23762/EXP/ES/2021,AVENIDA PEDRO PARRA CENTENO 2699,23.99,29.99,27.00,Automotriz
2026-08-18,,,,GASOLINA Y DIESEL DE OCCIDENTE S.A. DE C.V.,PL/10140/EXP/ES/2015,Avenida Pedro Parra Centeno No. 112,23.99,29.48,27.00,Diésel
2026-08-18,,,,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/7473/EXP/ES/2015,Avenida Revolución No. 10,23.99,,27.00,Diésel
2026-08-18,,,,AUTOSERVICIO GASOLINERO HACIENDA SANTA FE S.A. DE C.V.,PL/3702/EXP/ES/2015,Avenida Santa Fe No. 1000,23.99,28.99,27.00,DUBA
2026-08-18,,,,EUCALIPTOS DEL VALLE S. A. DE C. V,PL/19828/EXP/ES/2016,Boulevard Brasil 220 A,23.99,28.79,26.99,Diésel
2026-08-18,,,,SERVICIO NIGRAN S.A. DE C.V.,PL/25377/EXP/ES/2023,C. CUAUTHEMOC 252-A,23.99,,26.99,Automotriz
2026-08-18,,,,COMBUSTIBLES LAS URRACAS S.A. DE C.V.,PL/8332/EXP/ES/2015,Camino a San Sebastian El Grande-Tlajomulco No. 1575,23.99,29.99,27.99,Diésel
2026-08-18,,,,COMBUSTIBLES TLAJOMULCO S.A. DE C.V.,PL/10348/EXP/ES/2015,Camino Buenavista Tlajomulco No. 3,23.99,28.99,26.98,Automotriz
2026-08-18,,,,ESTACIÓN DE SERVICIO BETA S.A. DE C.V.,PL/3699/EXP/ES/2015,Camino Real a Colima No. 549 A,23.99,27.99,26.85,Automotriz
2026-08-18,,,,SERVICIOS HERMANOS VACO S.A. DE C.V.,PL/7148/EXP/ES/2015,Camino Real de Colima No. 782,23.99,29.19,,
2026-08-18,,,,PETROMAX S.A. DE C.V.,PL/623/EXP/ES/2015,Carretera a Cajititlán No. 200,23.99,29.99,,
2026-08-18,,,,SERVICIO FAPILO S.A. DE C.V.,PL/2007/EXP/ES/2015,Carretera a Santa Cruz Tala Km 6.5 No. 1200,23.99,29.79,26.99,Automotriz
2026-08-18,,,,GRUPO SULUMA S.A. DE C.V.,PL/4806/EXP/ES/2015,Carretera Estatal a San Isidro Mazatepec Km 5+200 Santa Cruz de Las Flores,23.99,28.99,27.00,Diésel
2026-08-18,,,,ESTACIÓN DE SERVICIO ROPER S.A. DE C.V.,PL/1673/EXP/ES/2015,Carretera Guadalajara - Chapala Km 14.5 S/N,23.99,29.99,26.99,Automotriz
2026-08-18,,,,ORGANIZACIÓN LA LUNA S.A. DE C.V.,PL/1712/EXP/ES/2015,Carretera Guadalajara - Morelia Km 20-1 Poniente Y Oriente,23.99,29.99,27.00,Diésel
2026-08-18,,,,COMBUSTIBLES POSEIDON S.A. DE C.V.,PL/1989/EXP/ES/2015,Carretera Guadalajara Morelia 1770 Fraccionamiento San José del Tajo,23.99,29.99,,
2026-08-18,,,,COMBUSTIBLES POPOYOTE S.A. DE C.V.,PL/2001/EXP/ES/2015,Carretera Guadalajara Morelia 7750,23.99,29.49,27.29,Diésel
2026-08-18,,,,GASOLINEROS MEXICANOS S.A. DE C.V.,PL/6900/EXP/ES/2015,Carretera Guadalajara-Chapal Km 17.5 Int. Aeropuerto,23.99,29.79,27.00,Diésel
2026-08-18,,,,GASOLINERA CASCO HERMANOS S.A. DE C.V.,PL/1763/EXP/ES/2015,Carretera Guadalajara-Colima Km 125+250,23.99,28.99,26.99,Diésel
2026-08-18,,,,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/9790/EXP/ES/2015,Carretera Guadalajara-Morelia Km 36,23.99,29.99,27.00,Diésel
2026-08-18,,,,GOPRA S.A. DE C.V.,PL/1222/EXP/ES/2015,Carretera San Isidro Mazatepec No. 798,23.99,29.29,27.00,Automotriz
2026-08-18,,,,ENERGÉTICOS PLUS S.A. DE C.V.,PL/6771/EXP/ES/2015,Carretera San Miguel Cuyutlán S/N,23.99,29.99,27.00,Automotriz
2026-08-18,,,,GASOLINERA LA CAPACHA S.A. DE C.V.,PL/9071/EXP/ES/2015,Carretera San Sebastian Santa María No. 383,23.99,29.99,26.90,Automotriz
2026-08-18,,,,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/12644/EXP/ES/2015,Carretera Tlajomulco - San Miguel Cuyutlán Km 7.70,23.99,29.99,27.00,Diésel
2026-08-18,,,,GASOLINERA SAN MIGUEL S.A. DE C.V.,PL/1752/EXP/ES/2015,Carretera Tlajomulco - San Miguel No. 01,23.99,29.89,26.99,Diésel
2026-08-18,,,,ENERGÍA DAMARIS S.A. DE C.V.,PL/6959/EXP/ES/2015,Constitución Oriente No. 71-A,23.99,29.90,26.99,Diésel
2026-08-18,,,,SAVLOZ COMPANNY S.A. DE C.V.,PL/9746/EXP/ES/2015,Ejidal Emiliano Zapata No. 10,23.99,29.99,26.99,Diésel
2026-08-18,,,,ESTACIÓN DE SERVICIO NAPTE S.A. DE C.V.,PL/5649/EXP/ES/2015,Emiliano Zapata No. 24,23.99,28.50,,
2026-08-18,,,,MULTISERVICIOS GASOLINEROS LUNA S.A. DE C.V.,PL/3733/EXP/ES/2015,Km 123+500 Carretera Guadalajara-Morelia,23.99,28.99,27.00,Diésel
2026-08-18,,,,GASOLINERA EL ZAPOTE S.A. DE C.V.,PL/5854/EXP/ES/2015,Km 17 de La Carretera Guadalajara-Chapala,23.99,29.45,26.99,Diésel
2026-08-18,,,,SERVICIO SANTA ANITA S.A. DE C.V.,PL/1926/EXP/ES/2015,Km 17.5 Carretera Guadalajara - Morelia,23.99,29.79,27.00,Automotriz
2026-08-18,,,,SERVICIOS GASOLINEROS DE MÉXICO S.A. DE C.V.,PL/7464/EXP/ES/2015,Km 20 Carretera Guadalajara-Chapala,23.99,29.99,27.00,Diésel
2026-08-18,,,,ESTACIÓN DE SERVICIO PYOTR S.A. DE C.V.,PL/10091/EXP/ES/2015,López Mateos No. 1200,23.99,28.69,26.99,Automotriz
2026-08-18,,,,CENTRAL SAN AGUSTÍN S.A. DE C.V.,PL/10103/EXP/ES/2015,López Mateos Sur 6998,23.99,29.99,27.00,Diésel
2026-08-18,,,,GASOLINERAS FAST DE OCCIDENTE S. DE R. L. DE C. V.,PL/9375/EXP/ES/2015,Prolongación 8 de Julio No. 575,23.99,28.99,26.99,Diésel
2026-08-18,,,,SERVICIOS SCDJ SI SA DE CV,PL/21994/EXP/ES/2018,PROLONGACION ADOLF B HORN 7900,23.99,26.99,27.00,Automotriz
2026-08-18,,,,DELFINA ORTIZ REGALADO,PL/8032/EXP/ES/2015,Prolongación Calle 1r0. de Mayo S/N,23.99,28.79,27.00,Diésel
2026-08-18,,,,GASOLINERA CUDEA S.A. DE C.V.,PL/1882/EXP/ES/2015,Avenida Acueducto No. 3507,24.00,29.00,27.00,Diésel
2026-08-18,,,,"GASOLINERA VERDE, S.A. DE C.V.",PL/25372/EXP/ES/2023,Blvd. Bosques de Santa Anita número 207,24.00,29.99,27.00,DUBA
2026-08-18,,,,SERVICIOS SAN JOSÉ DEL VALLE S.A. DE C.V.,PL/1583/EXP/ES/2015,Avenida Adolph B. Horn Jr. No. 1800,24.09,29.98,,
2026-08-18,,,,SERVICIO LAS CRUCES DE SANTA ANITA S.A. DE C.V.,PL/13062/EXP/ES/2016,Prolongación Ramon Corona 686,24.48,29.96,,
2026-08-18,,,,PETROMAX S.A. DE C.V.,PL/512/EXP/ES/2015,Carretera México - Guadalajara,24.49,29.99,,
2026-08-18,,,,PETROMAX S.A. DE C.V.,PL/518/EXP/ES/2015,Carretera Guadalajara - Morelia Km 3.5,24.59,29.99,,
2026-08-18,,,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/1985/EXP/ES/2015,Avenida Ramon Corona No. 715,24.99,29.99,,
